id,sis_id,pre_confidence_level_combined,pre_iso_ortho_text,pre_iso_ortho_num,pre_ortho_iso_text,pre_ortho_iso_num,post_confidence_level_combined,post_iso_ortho_text,post_iso_ortho_num,post_ortho_iso_text,post_ortho_iso_num,participated_in_treatment
252122,349985043,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
253521,718931068,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
246067,942106919,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
253198,233038984,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
285982,982974454,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
227527,279238711,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
255792,649793174,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
257693,486594591,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
256458,203434628,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
276886,215778815,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
257763,456074114,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
251143,308496059,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
272380,574750187,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
255468,856915197,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
252759,638988662,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
222806,740943727,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
255689,357236034,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
246608,831109519,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
245019,617940790,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
273536,737717585,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
244635,201238199,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
262123,730364799,"Agree,Strongly agree",Agree,4,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
248607,287955382,"Agree,Strongly agree",Agree,4,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
238371,885687301,"Agree,Strongly agree",Agree,4,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
243494,836233543,"Agree,Strongly agree",Agree,4,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
215867,761426817,"Disagree,Agree",Disagree,2,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
244692,161674235,"Disagree,Disagree",Disagree,2,Disagree,2,"Agree,Agree",Agree,4,Agree,4,TRUE
223084,414847975,"Disagree,Disagree",Disagree,2,Disagree,2,"Agree,Agree",Agree,4,Agree,4,TRUE
246194,943104843,"Disagree,Disagree",Disagree,2,Disagree,2,"Agree,Agree",Agree,4,Agree,4,TRUE
210203,971491326,"Disagree,Disagree",Disagree,2,Disagree,2,"Agree,Agree",Agree,4,Agree,4,TRUE
255338,707514293,"Disagree,Neutral",Disagree,2,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
226685,294851856,"Neutral,Agree",Neutral,3,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
261890,711037063,"Neutral,Agree",Neutral,3,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
247929,704386396,"Neutral,Agree",Neutral,3,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
250400,233904926,"Neutral,Agree",Neutral,3,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
246440,808813137,"Neutral,Agree",Neutral,3,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
201982,641851077,"Neutral,Agree",Neutral,3,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
247343,843754953,"Neutral,Agree",Neutral,3,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
261229,766589498,"Neutral,Disagree",Neutral,3,Disagree,2,"Agree,Agree",Agree,4,Agree,4,TRUE
268041,419099478,"Neutral,Disagree",Neutral,3,Disagree,2,"Agree,Agree",Agree,4,Agree,4,TRUE
254861,999939698,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
230747,711265939,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
245954,191365388,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
255426,378684936,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
260099,838244209,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
256441,959759115,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
239214,111592442,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
253488,707422380,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
294143,945208406,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
264340,107794551,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
217343,666196611,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
270617,623154198,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
256685,528670194,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
258437,321222570,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
253146,219515561,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
251412,345027534,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
253364,685344827,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
253767,772020660,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
270520,122476017,"Strongly agree,Agree",Strongly agree,5,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
196570,890953314,"Strongly agree,Agree",Strongly agree,5,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
254347,532274936,"Strongly agree,Agree",Strongly agree,5,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
255868,735024267,"Strongly agree,Agree",Strongly agree,5,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
259754,280790845,"Strongly agree,Neutral",Strongly agree,5,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
265850,535062568,"Strongly agree,Strongly agree",Strongly agree,5,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
255794,906240694,"Strongly agree,Strongly agree",Strongly agree,5,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
254707,323059711,"Strongly agree,Strongly agree",Strongly agree,5,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
277644,572543643,"Strongly agree,Strongly agree",Strongly agree,5,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
263128,833015300,"Strongly agree,Strongly agree",Strongly agree,5,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
266077,214778979,"Strongly agree,Strongly agree",Strongly agree,5,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
250220,457782542,"Strongly agree,Strongly agree",Strongly agree,5,Strongly agree,5,"Agree,Agree",Agree,4,Agree,4,TRUE
258712,120683565,"Strongly disagree,Strongly disagree",Strongly disagree,1,Strongly disagree,1,"Agree,Agree",Agree,4,Agree,4,TRUE
253294,896205691,"Agree,Agree",Agree,4,Agree,4,"Agree,Disagree",Agree,4,Disagree,2,TRUE
213711,176808801,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Disagree",Agree,4,Disagree,2,TRUE
252590,577376653,"Agree,Agree",Agree,4,Agree,4,"Agree,Neutral",Agree,4,Neutral,3,TRUE
258212,481517490,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
229924,335185926,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
249485,114329631,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
198435,217340006,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
285713,150309961,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
271648,360859107,"Disagree,Agree",Disagree,2,Agree,4,"Agree,Neutral",Agree,4,Neutral,3,TRUE
263923,383627995,"Disagree,Agree",Disagree,2,Agree,4,"Agree,Neutral",Agree,4,Neutral,3,TRUE
189903,301668946,"Disagree,Neutral",Disagree,2,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
242404,180087933,"Neutral,Disagree",Neutral,3,Disagree,2,"Agree,Neutral",Agree,4,Neutral,3,TRUE
253070,291426168,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
160372,183368087,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
254635,543674679,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
226982,677693269,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
249028,706680353,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Neutral",Agree,4,Neutral,3,TRUE
282234,924508180,"Strongly agree,Disagree",Strongly agree,5,Disagree,2,"Agree,Neutral",Agree,4,Neutral,3,TRUE
258688,548612151,"Strongly agree,Strongly agree",Strongly agree,5,Strongly agree,5,"Agree,Neutral",Agree,4,Neutral,3,TRUE
258103,290165600,"Strongly disagree,Strongly disagree",Strongly disagree,1,Strongly disagree,1,"Agree,Neutral",Agree,4,Neutral,3,TRUE
35583,778875395,"Agree,Agree",Agree,4,Agree,4,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
242887,246438848,"Agree,Agree",Agree,4,Agree,4,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
251596,643699259,"Agree,Agree",Agree,4,Agree,4,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
252210,541707756,"Agree,Agree",Agree,4,Agree,4,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
275747,869343773,"Agree,Agree",Agree,4,Agree,4,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
242668,820399389,"Agree,Strongly agree",Agree,4,Strongly agree,5,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
254700,174933822,"Disagree,Disagree",Disagree,2,Disagree,2,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
254550,867709049,"Neutral,Agree",Neutral,3,Agree,4,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
249678,626330775,"Neutral,Agree",Neutral,3,Agree,4,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
261219,434015885,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
282181,225095890,"Neutral,Neutral",Neutral,3,Neutral,3,"Agree,Strongly agree",Agree,4,Strongly agree,5,TRUE
248894,453995786,"Neutral,Agree",Neutral,3,Agree,4,"Disagree,Agree",Disagree,2,Agree,4,TRUE
285898,216317586,"Strongly agree,Agree",Strongly agree,5,Agree,4,"Disagree,Agree",Disagree,2,Agree,4,TRUE
291145,372023200,"Strongly agree,Neutral",Strongly agree,5,Neutral,3,"Disagree,Agree",Disagree,2,Agree,4,TRUE
87657,820729376,"Strongly disagree,Strongly disagree",Strongly disagree,1,Strongly disagree,1,"Disagree,Agree",Disagree,2,Agree,4,TRUE
251587,515417675,"Agree,Agree",Agree,4,Agree,4,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
