id,sis_id,submitted,attempt,confidence_level_combined,iso_ortho_text,iso_ortho_num,ortho_iso_text,ortho_iso_num
255856,846182292,2020-04-05 21:57:40 UTC,1,"Agree,Agree",Agree,4,Agree,4
245231,946468701,2020-04-05 21:34:55 UTC,1,"Agree,Agree",Agree,4,Agree,4
261428,473264075,2020-04-05 21:29:22 UTC,1,"Agree,Agree",Agree,4,Agree,4
245808,659595374,2020-04-05 21:18:21 UTC,1,"Agree,Agree",Agree,4,Agree,4
123754,628819021,2020-04-05 21:09:55 UTC,1,"Agree,Agree",Agree,4,Agree,4
256203,315153265,2020-04-05 21:07:34 UTC,1,"Agree,Agree",Agree,4,Agree,4
257724,786813717,2020-04-05 21:01:08 UTC,1,"Agree,Agree",Agree,4,Agree,4
265950,969428563,2020-04-05 20:58:43 UTC,1,"Agree,Agree",Agree,4,Agree,4
251161,258474096,2020-04-05 20:48:59 UTC,1,"Agree,Agree",Agree,4,Agree,4
269366,181122446,2020-04-05 20:38:15 UTC,1,"Agree,Agree",Agree,4,Agree,4
257918,317038738,2020-04-05 20:24:41 UTC,1,"Agree,Agree",Agree,4,Agree,4
256704,353972624,2020-04-05 20:20:27 UTC,1,"Agree,Agree",Agree,4,Agree,4
201473,431427358,2020-04-05 16:57:06 UTC,1,"Agree,Agree",Agree,4,Agree,4
264063,524890966,2020-04-05 14:46:30 UTC,1,"Agree,Agree",Agree,4,Agree,4
256422,955636214,2020-04-05 14:19:17 UTC,1,"Agree,Agree",Agree,4,Agree,4
252005,264535270,2020-04-05 13:53:26 UTC,1,"Agree,Agree",Agree,4,Agree,4
257150,427137526,2020-04-05 13:47:52 UTC,1,"Agree,Agree",Agree,4,Agree,4
213923,419474653,2020-04-05 13:18:44 UTC,1,"Agree,Agree",Agree,4,Agree,4
254765,606747880,2020-04-05 13:06:45 UTC,1,"Agree,Agree",Agree,4,Agree,4
169101,475615051,2020-04-05 12:50:56 UTC,1,"Agree,Agree",Agree,4,Agree,4
269130,268510791,2020-04-05 12:43:39 UTC,1,"Agree,Agree",Agree,4,Agree,4
257616,366348919,2020-04-05 12:38:44 UTC,1,"Agree,Agree",Agree,4,Agree,4
239506,288046674,2020-04-05 12:12:03 UTC,1,"Agree,Agree",Agree,4,Agree,4
251023,453112680,2020-04-05 12:11:20 UTC,1,"Agree,Agree",Agree,4,Agree,4
260866,937061600,2020-04-05 12:08:53 UTC,1,"Agree,Agree",Agree,4,Agree,4
252162,958291704,2020-04-05 12:08:46 UTC,1,"Agree,Agree",Agree,4,Agree,4
255053,524829348,2020-04-05 12:07:12 UTC,1,"Agree,Agree",Agree,4,Agree,4
247350,510161332,2020-04-05 12:04:06 UTC,1,"Agree,Agree",Agree,4,Agree,4
249922,739162050,2020-04-05 11:59:04 UTC,1,"Agree,Agree",Agree,4,Agree,4
