id,sis_id,pre_iso_ortho_gs_response,pre_iso_ortho_gs_score,pre_ortho_iso_gs_response,pre_ortho_iso_gs_score,pre_iso_ortho_hz_response,pre_iso_ortho_hz_score,pre_iso_ortho_hz_front_response,pre_iso_ortho_hz_front_score,pre_iso_ortho_hz_top_response,pre_iso_ortho_hz_top_score,pre_ortho_iso_hz_response,pre_ortho_iso_hz_score,pre_total_score,pre_total_split_score,post_iso_ortho_gs_response,post_iso_ortho_gs_score,post_ortho_iso_gs_response,post_ortho_iso_gs_score,post_iso_ortho_hz_response,post_iso_ortho_hz_score,post_iso_ortho_hz_front_response,post_iso_ortho_hz_front_score,post_iso_ortho_hz_top_response,post_iso_ortho_hz_top_score,post_ortho_iso_hz_response,post_ortho_iso_hz_score,post_total_score,post_total_split_score,pre_post_total_score_diff,pre_post_total_split_score_diff
252131,224120038,B,0,A,0,"B,M",0,B,0,M,1,L,0,0,1,A,0,C,0,"A,N",0,A,0,N,1,C,0,0,1,0,0
266909,405804922,C,0,B,1,"A,M",0,A,0,M,1,J,0,1,2,A,0,B,0,"B,O",0,B,0,O,0,D,0,0,0,-1,-2
207660,636318120,D,1,C,0,"B,M",0,B,0,M,1,D,0,1,2,C,0,B,0,"D,N",0,D,0,N,1,D,0,0,1,-1,-1
266904,626958722,C,0,B,1,"G,N",0,G,0,N,0,D,0,1,1,C,0,B,0,"I,N",0,I,0,N,1,L,0,0,1,-1,0
265062,819689202,C,0,D,0,"G,M",0,G,0,M,1,G,1,1,2,C,0,C,0,"E,M",0,E,0,M,0,C,0,0,0,-1,-2
248513,869616639,C,0,A,0,"B,M",0,B,0,M,1,G,1,1,2,C,0,C,0,"A,N",0,A,0,N,1,D,0,0,1,-1,-1
260070,482637291,D,1,D,0,"G,M",0,G,0,M,1,G,1,2,3,C,0,B,0,"G,O",0,G,1,O,0,F,0,0,1,-2,-2
239274,787271016,D,1,B,1,"E,M",1,E,1,M,1,B,0,3,4,D,0,C,0,"E,N",0,E,0,N,1,F,0,0,1,-3,-3
257824,699756822,D,1,A,0,"E,M",1,E,1,M,1,G,1,3,4,A,0,A,0,"A,M",0,A,0,M,0,A,0,0,0,-3,-4
230406,311793062,D,1,B,1,"A,M",0,A,0,M,1,G,1,3,4,C,0,A,0,"B,M",0,B,0,M,0,B,0,0,0,-3,-4
249478,784887018,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,A,0,C,0,"B,N",0,B,0,N,1,A,0,0,1,-3,-3
255053,524829348,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,D,0,B,0,"B,M",0,B,0,M,0,C,0,0,0,-4,-5
201473,431427358,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,D,0,C,0,"C,N",0,C,0,N,1,C,0,0,1,-4,-4
252138,435233075,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,C,0,C,0,"F,N",0,F,0,N,1,E,0,0,1,-4,-4
258011,673607538,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,A,0,C,0,"E,O",0,E,0,O,0,D,0,0,0,-4,-5
258310,398098200,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,A,0,A,0,"A,M",0,A,0,M,0,A,0,0,0,-4,-5
258409,741924400,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,A,0,B,0,"C,O",0,C,0,O,0,F,0,0,0,-4,-5
183053,928057503,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,C,0,C,0,"D,N",0,D,0,N,1,D,0,0,1,-4,-4
256346,367953141,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,D,0,C,0,"E,M",0,E,0,M,0,G,0,0,0,-4,-5
253825,187608375,A,0,C,0,"A,N",0,A,0,N,0,B,0,0,0,B,1,B,0,"D,O",0,D,0,O,0,C,0,1,1,1,1
260673,393057172,D,1,D,0,"B,M",0,B,0,M,1,C,0,1,2,D,0,A,0,"I,O",0,I,0,O,0,H,1,1,1,0,-1
251575,732528849,A,0,B,1,"B,M",0,B,0,M,1,K,0,1,2,D,0,D,1,"B,N",0,B,0,N,1,C,0,1,2,0,0
169220,961517158,A,0,B,1,"A,M",0,A,0,M,1,B,0,1,2,C,0,D,1,"A,M",0,A,0,M,0,E,0,1,1,0,-1
252506,577974581,A,0,A,0,"E,M",1,E,1,M,1,C,0,1,2,D,0,C,0,"G,N",1,G,1,N,1,K,0,1,2,0,0
